timestamp,tripId,route,day,timeToReachExpressStation,timeToReachDestination
692,071150_1..S02X021,1,Saturday,1488647880,1488648540
692,071850_1..S02X021,1,Saturday,1488648300,1488648960
692,066600_2..S01X009,2,Saturday,1488646157,1488646577
692,067800_2..S01X009,2,Saturday,1488647056,1488647476
692,069000_2..S01X009,2,Saturday,1488647649,1488648069
692,070200_2..S01X009,2,Saturday,1488648360,1488648780
692,071400_2..S01X009,2,Saturday,1488649080,1488649500
692,068000_3..S01X008,3,Saturday,1488645233,1488645653
692,069200_3..S01X008,3,Saturday,1488645840,1488646260
692,070400_3..S01X008,3,Saturday,1488646560,1488646980
692,071600_3..S01X008,3,Saturday,1488647280,1488647700
﻿692,067050_1..S02X021,1,Saturday,1488645496,1488646156
692,067850_1..S02X021,1,Saturday,1488645882,1488646542
692,068750_1..S02X021,1,Saturday,1488646482,1488647142
692,069450_1..S02X021,1,Saturday,1488646860,1488647520
692,070250_1..S02X021,1,Saturday,1488647340,1488648000
692,071150_1..S02X021,1,Saturday,1488647880,1488648540
692,071850_1..S02X021,1,Saturday,1488648300,1488648960
692,066600_2..S01X009,2,Saturday,1488646157,1488646577
692,067800_2..S01X009,2,Saturday,1488647040,1488647460
692,069000_2..S01X009,2,Saturday,1488647629,1488648049
692,070200_2..S01X009,2,Saturday,1488648360,1488648780
692,071400_2..S01X009,2,Saturday,1488649080,1488649500
692,068000_3..S01X008,3,Saturday,1488645249,1488645669
692,069200_3..S01X008,3,Saturday,1488645840,1488646260
692,070400_3..S01X008,3,Saturday,1488646560,1488646980
692,071600_3..S01X008,3,Saturday,1488647280,1488647700
﻿693,067050_1..S02X021,1,Saturday,1488645460,1488646120
693,067850_1..S02X021,1,Saturday,1488645891,1488646551
693,068750_1..S02X021,1,Saturday,1488646482,1488647142
693,069450_1..S02X021,1,Saturday,1488646860,1488647520
693,070250_1..S02X021,1,Saturday,1488647340,1488648000
693,071150_1..S02X021,1,Saturday,1488647880,1488648540
693,071850_1..S02X021,1,Saturday,1488648300,1488648960
693,066600_2..S01X009,2,Saturday,1488646192,1488646612
693,067800_2..S01X009,2,Saturday,1488647042,1488647462
693,069000_2..S01X009,2,Saturday,1488647645,1488648065
693,070200_2..S01X009,2,Saturday,1488648360,1488648780
693,071400_2..S01X009,2,Saturday,1488649080,1488649500
693,068000_3..S01X008,3,Saturday,1488645218,1488645638
693,069200_3..S01X008,3,Saturday,1488645847,1488646267
693,070400_3..S01X008,3,Saturday,1488646560,1488646980
693,071600_3..S01X008,3,Saturday,1488647280,1488647700
﻿693,067050_1..S02X021,1,Saturday,1488645460,1488646120
693,067850_1..S02X021,1,Saturday,1488645891,1488646551
693,068750_1..S02X021,1,Saturday,1488646498,1488647158
693,069450_1..S02X021,1,Saturday,1488646860,1488647520
693,070250_1..S02X021,1,Saturday,1488647340,1488648000
693,071150_1..S02X021,1,Saturday,1488647880,1488648540
693,071850_1..S02X021,1,Saturday,1488648300,1488648960
693,072650_1..S02X021,1,Saturday,1488648780,1488649440
693,066600_2..S01X009,2,Saturday,1488646173,1488646593
693,067800_2..S01X009,2,Saturday,1488647042,1488647462
693,069000_2..S01X009,2,Saturday,1488647651,1488648071
693,070200_2..S01X009,2,Saturday,1488648360,1488648780
693,071400_2..S01X009,2,Saturday,1488649080,1488649500
693,072600_2..S01X009,2,Saturday,1488649800,1488650220
693,068000_3..S01X008,3,Saturday,1488645218,1488645638
693,069200_3..S01X008,3,Saturday,1488645859,1488646279
693,070400_3..S01X008,3,Saturday,1488646560,1488646980
693,071600_3..S01X008,3,Saturday,1488647280,1488647700
693,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿694,067050_1..S02X021,1,Saturday,1488645500,1488646160
694,067850_1..S02X021,1,Saturday,1488645871,1488646531
694,068750_1..S02X021,1,Saturday,1488646492,1488647152
694,069450_1..S02X021,1,Saturday,1488646860,1488647520
694,070250_1..S02X021,1,Saturday,1488647340,1488648000
694,071150_1..S02X021,1,Saturday,1488647880,1488648540
694,071850_1..S02X021,1,Saturday,1488648300,1488648960
694,072650_1..S02X021,1,Saturday,1488648780,1488649440
694,066600_2..S01X009,2,Saturday,1488646173,1488646593
